"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SNES","SenesTech, Inc.","0.5355","$15.15M","2016","Basic Industries","Agricultural Chemicals","https://old.nasdaq.com/symbol/snes",
"SNH","Senior Housing Properties Trust","7.455","$1.77B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/snh",
"SNHNI","Senior Housing Properties Trust","24.8","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/snhni",
"SNHNL","Senior Housing Properties Trust","25.81","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/snhnl",
"AIHS","Senmiao Technology Limited","0.6427","$18.54M","2018","Finance","Finance: Consumer Services","https://old.nasdaq.com/symbol/aihs",
"SRTS","Sensus Healthcare, Inc.","3.61","$59.55M","2016","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/srts",
"SRTSW","Sensus Healthcare, Inc.","0.1","n/a","2016","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/srtsw",
"SQBG","Sequential Brands Group, Inc.","0.37","$24.24M","n/a","Consumer Non-Durables","Apparel","https://old.nasdaq.com/symbol/sqbg",
"MCRB","Seres Therapeutics, Inc.","4.38","$306.65M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/mcrb",
"SVC","Service Properties Trust","23.65","$3.89B","n/a","Consumer Services","Real Estate Investment Trusts","https://old.nasdaq.com/symbol/svc",
"SREV","ServiceSource International, Inc.","1.59","$150.25M","2011","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/srev",
"SFBS","ServisFirst Bancshares, Inc.","37.88","$2.03B","2014","Finance","Major Banks","https://old.nasdaq.com/symbol/sfbs",
"SESN","Sesen Bio, Inc.","0.9201","$96.32M","2014","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sesn",
"SVBI","Severn Bancorp Inc","9.24","$118.36M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/svbi",
"SGBX","SG Blocks, Inc.","0.1422","$854307.88","2017","Consumer Services","RETAIL: Building Materials","https://old.nasdaq.com/symbol/sgbx",
"SGOC","SGOCO Group, Ltd","0.88","$70.42M","2010","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/sgoc",
"SMED","Sharps Compliance Corp.","4.22","$68.14M","n/a","Basic Industries","Environmental Services","https://old.nasdaq.com/symbol/smed",
"SHSP","SharpSpring, Inc.","10.16","$116.93M","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/shsp",
"SHEN","Shenandoah Telecommunications Co","38.64","$1.93B","n/a","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/shen",
"PIXY","ShiftPixy, Inc.","7.46","$6.82M","2017","Technology","Diversified Commercial Services","https://old.nasdaq.com/symbol/pixy",
"SHLO","Shiloh Industries, Inc.","3.49","$83.03M","1993","Capital Goods","Industrial Specialties","https://old.nasdaq.com/symbol/shlo",
"TYHT","Shineco, Inc.","1.01","$27.61M","2016","Consumer Non-Durables","Farming/Seeds/Milling","https://old.nasdaq.com/symbol/tyht",
"SWAV","ShockWave Medical, Inc.","44.89","$1.27B","2019","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/swav",
"SCVL","Shoe Carnival, Inc.","36.68","$520.61M","1993","Consumer Services","Clothing/Shoe/Accessory Stores","https://old.nasdaq.com/symbol/scvl",
"SHBI","Shore Bancshares Inc","17.66","$224.07M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/shbi",
"SSTI","ShotSpotter, Inc.","24.36","$278.5M","2017","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/ssti",
"SIBN","SI-BONE, Inc.","20.01","$500.36M","2018","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/sibn",
"SIEB","Siebert Financial Corp.","10.1","$274.29M","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/sieb",
"SIEN","Sientra, Inc.","8.27","$409.21M","2014","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/sien",
"BSRR","Sierra Bancorp","28.96","$442.88M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/bsrr",
"SRRA","Sierra Oncology, Inc.","0.3462","$133.9M","2015","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/srra",
"SWIR","Sierra Wireless, Inc.","9.66","$349.66M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://old.nasdaq.com/symbol/swir",
"SIFY","Sify Technologies Limited","1.28","$229.3M","n/a","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/sify",
"SIGA","SIGA Technologies Inc.","4.5","$364.83M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/siga",
"SGLB","Sigma Labs, Inc.","1.012","$14.21M","n/a","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/sglb",
"SGLBW","Sigma Labs, Inc.","0.59","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","https://old.nasdaq.com/symbol/sglbw",
"SGMA","SigmaTron International, Inc.","3.877","$16.45M","1994","Technology","Electrical Products","https://old.nasdaq.com/symbol/sgma",
"SBNY","Signature Bank","135.75","$7.33B","2004","Finance","Major Banks","https://old.nasdaq.com/symbol/sbny",
"SLGN","Silgan Holdings Inc.","30.49","$3.38B","1997","Consumer Durables","Containers/Packaging","https://old.nasdaq.com/symbol/slgn",
"SILC","Silicom Ltd","32.26","$243.89M","n/a","Technology","Computer Communications Equipment","https://old.nasdaq.com/symbol/silc",
"SLAB","Silicon Laboratories, Inc.","114.16","$4.95B","2000","Technology","Semiconductors","https://old.nasdaq.com/symbol/slab",
"SIMO","Silicon Motion Technology Corporation","48.4","$1.77B","2005","Technology","Semiconductors","https://old.nasdaq.com/symbol/simo",
"SILK","Silk Road Medical, Inc.","36.52","$1.13B","2019","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/silk",
"SSPK","Silver Spike Acquisition Corp.","9.9492","$248.73M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/sspk",
"SSPKU","Silver Spike Acquisition Corp.","10.09","$252.25M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/sspku",
"SSPKW","Silver Spike Acquisition Corp.","0.52","$10.14M","2019","Finance","Business Services","https://old.nasdaq.com/symbol/sspkw",
"SAMG","Silvercrest Asset Management Group Inc.","12.52","$179.8M","2013","Finance","Investment Managers","https://old.nasdaq.com/symbol/samg",
"SSNT","SilverSun Technologies, Inc.","3.41","$15.35M","n/a","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/ssnt",
"SFNC","Simmons First National Corporation","26.59","$3.03B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/sfnc",
"SLP","Simulations Plus, Inc.","33.62","$592.5M","n/a","Technology","EDP Services","https://old.nasdaq.com/symbol/slp",
"SINA","Sina Corporation","37.34","$2.59B","n/a","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/sina",
"SBGI","Sinclair Broadcast Group, Inc.","30.42","$2.8B","1995","Consumer Services","Broadcasting","https://old.nasdaq.com/symbol/sbgi",
"SINO","Sino-Global Shipping America, Ltd.","0.5254","$9.06M","n/a","Transportation","Oil Refining/Marketing","https://old.nasdaq.com/symbol/sino",
"SVA","Sinovac Biotech, Ltd.","6.47","$460.25M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/sva",
